Please clearly mark the box below to instruct your proxy how to vote,Column,Column,Column
Resolution,For,Against,Withheld
Adoption of the minutes of the Sixty Ninth (69th) Annual General Meeting held on 15th June 2023.,,,
"Adoption of the audited Financial Statements for the year ended 31st December 2023 together with the
Chairman’s Statement and the reports of the Directors and the Auditors.",,,
"Approval of the payment of a first and final dividend of Kshs. 1.92 per share in respect of the Financial Year
ended 31st December 2023.",,,
"To approve the Directors’ Remuneration Report as detailed in the Annual Report for the Financial Year ended
31st December 2023.",,,
Re-election of Mr. Guillaume Navez as a Director of the Company.,,,
Re-election of Mr. Joseph Karago as a Director of the Company.,,,
Appointment of Board Audit Committee comprising the following Members: -,,,
a) Mr. Joseph Karago,,,
b) Mr. Maurice Odhiambo K’Anjejo,,,
c) Ms. Catherine Musakali,,,
d) Mr. Guillaume Navez,,,
"Re-appointment of Messrs Ernst & Young LLP as Auditors of the Company and authorization of the Board to
fix the Auditor’s Remuneration for the ensuingFinancial Year.",,,
