Column,NaMe OF DIReCTOR,NO: OF BOaRD MeeTINgS aTTeNDeD
1,Francis Okomo-Okello,3
2,Mahmud Jan Mohamed,3
3,Teddy Mapunda (Mrs),3
4,ameer Kassim-lakha,3
5,guedi ainache,3
6,Damien Braud,1
7,ashish Sharma,3
8,Mahmood Manji,3
9,Nooren Hirjani,3
10,Jean-louis Vinciguerra,0
11,Jean-Benoit Du Chalard,1
"Notes:
1. Three (3) Board meetings were held in 2018.
2. Mr. Jean-louis Vinciguerra was represented by his alternate Mr. ashish Sharma in the three (3) Board meetings held during the year.
3. Mr. Jean-Benoit Du Chalard was appointed on 12.11.18 and thus he could only attend one (1) meeting.
4. Mr. Damien Braud resigned on 12.11.18.",,
