Column,Dec ‘11,Dec ‘10
"Profit before interest, tax and
amortisation (Ushs billion)",97.7,52.3
"Cash generated from operating
activities (Ushs billion)",60.5,43.9
"Capital expenditure in the
year (Ushs billion)",78.5,50.8
"Power units sold during the
year (GWh)","1,735","1,627"
"Power units purchased during
the year (GWh)","2,387","2,324"
Energy Losses (Percentage),27.3%,30.0%
"Revenue collections rate
(Percentage)",98.9%,95.0%
"Additional 33 kV and 11 kV lines
during the year in kilometers (km)",89,50
"Total length of distribution lines
at the end of the year (km)","8,897","8,828"
Total length of low voltage lines,"10,477","9,963"
at the end of the year (km),,
"Distribution transformers
installed during the year",141,111
"Total distribution transformers
at the end of year","6,496","6,355"
"Number of pending service
applications","1,544","2,037"
"Number of new consumers
connected during the year","52,349","50,620"
(net of disconnections),,
"Total number of consumers at
the end of the year","457,808","405,459"
"Total number of company
employees at the end of the year","1,213","1,145"
