Column,Name,Role,Nationality
a),Patrick Bitature,Chairman,Ugandan
b),Selestino Babungi,Managing Director,Ugandan
c),Hon. Gerald Ssendaula,Non-executive Director,Ugandan
d),Piet Faling,Non-executive Director,South African
e),Florence Namatta Mawejje,Non-executive Director,Ugandan
g),Andrew Buglass,Non-executive Director,British
h),Anthony Marsh,Non-executive Director,British
i),Stephen Emasu,Non-executive Director,Ugandan
j),Riccardo Ridolfi,Non-executive Director,Italian
k),Florence N. Nsubuga,Executive Director,Ugandan
l),Mr. Samuel Zimbe,Executive Director – resigned effective 1 May 2018,Ugandan
m),Mr. Charles Chapman,Non-executive Director – resigned effective 1 May 2018,Irish
